invoice,date,store,before vat,Vat,Total,price,quantity,before vat,Vat,Total,
1707X07978,09-07-2017,1664, 253.44 , 17.74 , 271.18 ,31.68, 8.00 , 253.44 , 17.74 , 271.18 ,
1707X07979,09-07-2017,1741, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X07980,09-07-2017,1557, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X07981,09-07-2017,1534, 158.40 , 11.09 , 169.49 ,31.68, 5.00 , 158.40 , 11.09 , 169.49 ,
1707X07982,09-07-2017,1606, 253.44 , 17.74 , 271.18 ,31.68, 8.00 , 253.44 , 17.74 , 271.18 ,
1707X08001,09-07-2017,1559, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X08002,09-07-2017,1653, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X08003,09-07-2017,1569, 380.16 , 26.61 , 406.77 ,31.68, 12.00 , 380.16 , 26.61 , 406.77 ,
1707X08026,09-07-2017,1511, 792.00 , 55.44 , 847.44 ,31.68, 25.00 , 792.00 , 55.44 , 847.44 ,
1707X08027,09-07-2017,1603," 1,584.00 ", 110.88 ," 1,694.88 ",31.68, 50.00 ," 1,584.00 ", 110.88 ," 1,694.88 ",
1707X08028,09-07-2017,1331," 1,267.20 ", 88.70 ," 1,355.90 ",31.68, 40.00 ," 1,267.20 ", 88.70 ," 1,355.90 ",
1707X08029,09-07-2017,1654, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X08030,09-07-2017,1702, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X08035,09-07-2017,1524, 147.00 , 10.29 , 157.29 ,29.4, 5.00 , 147.00 , 10.29 , 157.29 ,
1707X08036,09-07-2017,1561, 441.00 , 30.87 , 471.87 ,29.4, 15.00 , 441.00 , 30.87 , 471.87 ,
1707X08037,09-07-2017,1324, 588.00 , 41.16 , 629.16 ,29.4, 20.00 , 588.00 , 41.16 , 629.16 ,
1707X08042,09-07-2017,1473, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X08047,09-07-2017,1493, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X08051,09-07-2017,1632, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X08266,09-07-2017,1379, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X08296,09-07-2017,1584, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X08300,09-07-2017,1228," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
1707X08327,09-07-2017,1397, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08328,09-07-2017,1439, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X08329,09-07-2017,1219, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08364,09-07-2017,1377, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X08404,09-07-2017,1247, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08405,09-07-2017,1292, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X08406,09-07-2017,1345, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X08415,09-07-2017,1472, 200.76 , 14.05 , 214.81 ,28.68, 7.00 , 200.76 , 14.05 , 214.81 ,
1707X08431,09-07-2017,1566, 573.60 , 40.15 , 613.75 ,28.68, 20.00 , 573.60 , 40.15 , 613.75 ,
1707X08453,09-07-2017,1642, 437.40 , 30.62 , 468.02 ,29.16, 15.00 , 437.40 , 30.62 , 468.02 ,
1707X08454,09-07-2017,1583, 172.08 , 12.05 , 184.13 ,28.68, 6.00 , 172.08 , 12.05 , 184.13 ,
1707X08455,09-07-2017,1560, 874.80 , 61.24 , 936.04 ,29.16, 30.00 , 874.80 , 61.24 , 936.04 ,
1707X08456,09-07-2017,1498," 1,166.40 ", 81.65 ," 1,248.05 ",29.16, 40.00 ," 1,166.40 ", 81.65 ," 1,248.05 ",
1707X08608,09-07-2017,1634, 324.72 , 22.73 , 347.45 ,27.06, 12.00 , 324.72 , 22.73 , 347.45 ,
1707X08640,09-07-2017,1347, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X08656,09-07-2017,2219, 676.50 , 47.36 , 723.86 ,27.06, 25.00 , 676.50 , 47.36 , 723.86 ,
1707X08675,09-07-2017,1264, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X08676,09-07-2017,1340, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X08677,09-07-2017,1671," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X08688,09-07-2017,1311, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X08728,09-07-2017,1419, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X08729,09-07-2017,1465, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08730,09-07-2017,1459," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
1707X08731,09-07-2017,1581, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08732,09-07-2017,2222, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08735,09-07-2017,1665, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X08898,10-07-2017,1468," 1,045.80 ", 73.21 ," 1,119.01 ",34.86, 30.00 ," 1,045.80 ", 73.21 ," 1,119.01 ",
1707X08930,10-07-2017,1733, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X08931,10-07-2017,1373, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X08932,10-07-2017,1414," 1,894.20 ", 132.59 ," 2,026.79 ",27.06, 70.00 ," 1,894.20 ", 132.59 ," 2,026.79 ",
1707X08933,10-07-2017,1619," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X08934,10-07-2017,1344," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
1707X09076,10-07-2017,1492, 380.16 , 26.61 , 406.77 ,31.68, 12.00 , 380.16 , 26.61 , 406.77 ,
1707X09077,10-07-2017,1322, 792.00 , 55.44 , 847.44 ,31.68, 25.00 , 792.00 , 55.44 , 847.44 ,
1707X09082,10-07-2017,1674, 190.08 , 13.31 , 203.39 ,31.68, 6.00 , 190.08 , 13.31 , 203.39 ,
1707X09083,10-07-2017,1484, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X09093,10-07-2017,1208, 380.16 , 26.61 , 406.77 ,31.68, 12.00 , 380.16 , 26.61 , 406.77 ,
1707X09094,10-07-2017,1380, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X09095,10-07-2017,1647, 253.44 , 17.74 , 271.18 ,31.68, 8.00 , 253.44 , 17.74 , 271.18 ,
1707X09096,10-07-2017,1613, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X09098,10-07-2017,1716, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X09099,10-07-2017,1678, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X09120,10-07-2017,1713, 950.40 , 66.53 ," 1,016.93 ",31.68, 30.00 , 950.40 , 66.53 ," 1,016.93 ",
1707X09121,10-07-2017,1563, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X09132,10-07-2017,1587, 294.00 , 20.58 , 314.58 ,29.4, 10.00 , 294.00 , 20.58 , 314.58 ,
1707X09133,10-07-2017,1650, 253.44 , 17.74 , 271.18 ,31.68, 8.00 , 253.44 , 17.74 , 271.18 ,
1707X09136,10-07-2017,1266, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X09137,10-07-2017,1396, 475.20 , 33.26 , 508.46 ,31.68, 15.00 , 475.20 , 33.26 , 508.46 ,
1707X09138,10-07-2017,1393, 792.00 , 55.44 , 847.44 ,31.68, 25.00 , 792.00 , 55.44 , 847.44 ,
1707X09140,10-07-2017,1458, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X09141,10-07-2017,1694, 158.40 , 11.09 , 169.49 ,31.68, 5.00 , 158.40 , 11.09 , 169.49 ,
1707X09142,10-07-2017,1239, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
1707X09147,10-07-2017,1698, 316.80 , 22.18 , 338.98 ,31.68, 10.00 , 316.80 , 22.18 , 338.98 ,
1707X09177,10-07-2017,1593, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X09178,10-07-2017,1683, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X09179,10-07-2017,1562," 1,353.00 ", 94.71 ," 1,447.71 ",27.06, 50.00 ," 1,353.00 ", 94.71 ," 1,447.71 ",
1707X09180,10-07-2017,2213," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
